Title,Company,Language,Reward,Link
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/171819
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/205880
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/178642
[100억↑투자] Back-end Developer (Java/Kotlin),웨이브릿지,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/213950
"백엔드 개발자 (Java, Kotlin, MySQL, AWS)",아몬드컴퍼니,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/150034
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/197273
[에어클래스] Kotlin/Spring Server Developer (3~5년차),큐리어슬리,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/94072
글로벌 해외송금 백엔드 개발자 (Java/Kotlin),센트비(Sentbe),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/199109
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/171819
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/205880
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/178642
[100억↑투자] Back-end Developer (Java/Kotlin),웨이브릿지,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/213950
"백엔드 개발자 (Java, Kotlin, MySQL, AWS)",아몬드컴퍼니,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/150034
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/197273
[에어클래스] Kotlin/Spring Server Developer (3~5년차),큐리어슬리,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/94072
글로벌 해외송금 백엔드 개발자 (Java/Kotlin),센트비(Sentbe),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/199109
Java/Kotlin 백엔드 서버 엔지니어,티비유,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/118264
공비서 자바/코틀린 개발자,헤렌,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/137441
java/kotlin 시니어 개발,에스제이소프트,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/212445
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/196645
[인텔리전스랩스] 추천팀 백엔드 개발자 (Java/Kotlin),넥슨코리아(NEXON),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/209654
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/100640
Java/Kotlin Backend Engineer (상품전시개발실),무신사,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/189781
Java/Kotlin Backend Engineer (구매개발실),무신사,kotlin,합격보상금 100만원,https://www.wanted.co.kr/wd/188378
